Team,Player,Position,Matches_played,Minutes_played,Goals,Assists,Penalty_kicks_made,Yellow_cards,Red_cards,xG,npxG,xAG
Atlético Goianiense,Guilherme Romão,DF,20.0,1.768,1.0,3.0,0.0,5.0,0.0,1.7,1.7,2.3
Atlético Goianiense,Luiz Fernando,"FW,MF",19.0,1.688,6.0,0.0,0.0,3.0,0.0,3.6,3.6,0.8
Atlético Goianiense,Adriano Martins,DF,19.0,1.671,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.1
Atlético Goianiense,Shaylon,"FW,MF",21.0,1.595,2.0,1.0,1.0,2.0,0.0,3.4,1.8,4.1
Atlético Goianiense,Gabriel Baralhas,MF,20.0,1.4,1.0,1.0,0.0,5.0,0.0,1.2,1.2,1.4
Atlético Goianiense,Ronaldo,GK,18.0,1.619,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.3
Atlético Goianiense,Rhaldney,MF,17.0,1.198,0.0,1.0,0.0,6.0,0.0,0.5,0.5,0.5
Atlético Goianiense,Maguinho,DF,18.0,1.223,0.0,1.0,0.0,2.0,1.0,0.3,0.3,1.1
Atlético Goianiense,Alix Vinicius,DF,14.0,1.132,0.0,0.0,0.0,3.0,2.0,0.7,0.7,0.6
Atlético Goianiense,Emiliano Rodríguez,FW,18.0,1.048,0.0,0.0,0.0,1.0,0.0,2.8,2.8,0.5
Atlético Goianiense,Lucas Kal,"MF,DF",17.0,1.156,0.0,1.0,0.0,1.0,0.0,0.3,0.3,0.5
Atlético Goianiense,Alejo Cruz,"MF,FW",20.0,935.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.7
Atlético Goianiense,Budiga Roni,"MF,DF",12.0,681.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1
Atlético Goianiense,Pedrão,DF,9.0,534.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0
Atlético Goianiense,Luiz Felipe,DF,10.0,566.0,1.0,0.0,0.0,3.0,1.0,0.9,0.9,0.0
Atlético Goianiense,Bruno Tubarão,DF,10.0,556.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1
Atlético Goianiense,Pedro Rangel,GK,4.0,360.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atlético Goianiense,Janderson,"MF,FW",5.0,318.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.3
Atlético Goianiense,Gonzalo Freitas,MF,3.0,270.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2
Atlético Goianiense,Jan Carlos Hurtado,FW,5.0,254.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.0
Atlético Goianiense,Derek,FW,12.0,302.0,1.0,0.0,0.0,1.0,1.0,1.3,1.3,0.8
Atlético Goianiense,Vágner Love,"FW,MF",6.0,176.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0
Atlético Goianiense,Yony González,"FW,MF",9.0,267.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2
Atlético Goianiense,Joel Campbell,"FW,MF",2.0,135.0,1.0,0.0,1.0,1.0,0.0,1.1,0.3,0.1
Atlético Goianiense,Yeferson Rodallega,DF,2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Goianiense,Gabriel Barros,"FW,MF",2.0,79.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Atlético Goianiense,Dé Marcão,DF,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Atlético Goianiense,Luiz Gustavo,DF,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Goianiense,Max,"FW,MF",14.0,263.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6
Atlético Goianiense,Danielzinho,"MF,FW",4.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Atlético Goianiense,Mateo Zuleta,"FW,MF",4.0,49.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1
Atlético Goianiense,Eli,FW,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Atlético Goianiense,Randerson,MF,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Goianiense,Gustavo Campanharo,MF,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Atlético Goianiense,Gustavo Daniel,DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlético Goianiense,Emerson Júnior,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
